"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"gridBase","packages/x86_64-pc-linux-gnu/4.1/","0.4-7",NA,NA,NA,NA
"gridExtra","packages/x86_64-pc-linux-gnu/4.1/","2.3",NA,NA,NA,NA
"gtable","packages/x86_64-pc-linux-gnu/4.1/","0.3.0",NA,NA,NA,NA
"gtools","packages/x86_64-pc-linux-gnu/4.1/","3.9.2",NA,NA,NA,NA
"haven","packages/x86_64-pc-linux-gnu/4.1/","2.4.3",NA,NA,NA,NA
"hexbin","packages/x86_64-pc-linux-gnu/4.1/","1.28.2",NA,NA,NA,NA
"highr","packages/x86_64-pc-linux-gnu/4.1/","0.9",NA,NA,NA,NA
"Hmisc","packages/x86_64-pc-linux-gnu/4.1/","4.6-0",NA,NA,NA,NA
"hms","packages/x86_64-pc-linux-gnu/4.1/","1.1.1",NA,NA,NA,NA
"htmlTable","packages/x86_64-pc-linux-gnu/4.1/","2.3.0",NA,NA,NA,NA
"htmltools","packages/x86_64-pc-linux-gnu/4.1/","0.5.2",NA,NA,NA,NA
"htmlwidgets","packages/x86_64-pc-linux-gnu/4.1/","1.5.4",NA,NA,NA,NA
"httpuv","packages/x86_64-pc-linux-gnu/4.1/","1.6.3",NA,NA,NA,NA
"httr","packages/x86_64-pc-linux-gnu/4.1/","1.4.2",NA,NA,NA,NA
"hunspell","packages/x86_64-pc-linux-gnu/4.1/","3.0.1",NA,NA,NA,NA
"igraph","packages/x86_64-pc-linux-gnu/4.1/","1.2.11",NA,NA,NA,NA
"ini","packages/x86_64-pc-linux-gnu/4.1/","0.3.1",NA,NA,NA,NA
"ipred","packages/x86_64-pc-linux-gnu/4.1/","0.9-12",NA,NA,NA,NA
"isoband","packages/x86_64-pc-linux-gnu/4.1/","0.2.5",NA,NA,NA,NA
"iterators","packages/x86_64-pc-linux-gnu/4.1/","1.0.13",NA,NA,NA,NA
"itertools","packages/x86_64-pc-linux-gnu/4.1/","0.1-3",NA,NA,NA,NA
"jpeg","packages/x86_64-pc-linux-gnu/4.1/","0.1-9",NA,NA,NA,NA
"jquerylib","packages/x86_64-pc-linux-gnu/4.1/","0.1.4",NA,NA,NA,NA
"jsonlite","packages/x86_64-pc-linux-gnu/4.1/","1.7.3",NA,NA,NA,NA
"kernlab","packages/x86_64-pc-linux-gnu/4.1/","0.9-29",NA,NA,NA,NA
"knitr","packages/x86_64-pc-linux-gnu/4.1/","1.37",NA,NA,NA,NA
"ks","packages/x86_64-pc-linux-gnu/4.1/","1.13.2",NA,NA,NA,NA
"kSamples","packages/x86_64-pc-linux-gnu/4.1/","1.2-9",NA,NA,NA,NA
"labeling","packages/x86_64-pc-linux-gnu/4.1/","0.4.2",NA,NA,NA,NA
"LandR","packages/x86_64-pc-linux-gnu/4.1/","1.0.7.9009","LandR","PredictiveEcology","7860167132aecd2105dd9a1e2b63e858dc1f22fa","7860167132aecd2105dd9a1e2b63e858dc1f22fa"
"LandR.CS","packages/x86_64-pc-linux-gnu/4.1/","0.0.3","LandR.CS","ianmseddy","HEAD","02b5610366f1cac53011a72a43805a906c2437e0"
